order_id,customer_id,product_id,quantity,order_date,payment_mode
O001,C001,P001,1,2025-01-10,Card
O002,C002,P004,2,2025-01-11,Cash
O003,C003,P003,1,2025-01-12,UPI
O004,C001,P002,1,2025-01-13,Card
O005,C005,P007,2,2025-01-14,Card
O006,C007,P001,1,2025-01-15,UPI
O007,C009,P008,1,2025-01-16,Card
O008,C011,P003,1,2025-01-17,Card
O009,C003,P010,1,2025-01-18,Cash
O010,C004,P006,4,2025-01-19,UPI
O011,C005,P005,2,2025-01-20,Card
O012,C007,P003,1,2025-01-21,Card
O013,C002,P009,1,2025-01-22,UPI
O014,C008,P004,1,2025-01-23,Cash
O015,C012,P006,3,2025-01-24,Card
